epoch,loss,psnr,val_loss,val_psnr
0,0.0019284070003777742,30.9149227142334,0.0006532390834763646,36.14869689941406
1,0.0016273661749437451,31.66813850402832,0.0006251467857509851,36.570919036865234
2,0.0015796556835994124,31.984628677368164,0.0006073776166886091,36.97383499145508
3,0.0015549028757959604,32.07297134399414,0.0005933949141763151,37.099151611328125
4,0.0015281245578080416,32.21835708618164,0.0005829705041833222,37.25606918334961
5,0.0015107984654605389,32.309967041015625,0.0005732329445891082,37.341590881347656
6,0.0014956439845263958,32.37546920776367,0.000563831883482635,37.336551666259766
7,0.001478595775552094,32.42413330078125,0.0005641758325509727,37.31766891479492
8,0.0014794066082686186,32.44697952270508,0.0005595791153609753,37.28986740112305
9,0.0014687897637486458,32.46211242675781,0.0005570380017161369,37.402713775634766
10,0.001461721840314567,32.47316360473633,0.000552531098946929,37.481781005859375
11,0.0014522072160616517,32.54033660888672,0.0005498221726156771,37.475948333740234
12,0.0014558243565261364,32.52376174926758,0.0005475569632835686,37.52836990356445
13,0.0014501826371997595,32.55946350097656,0.0005437620566226542,37.55023956298828
14,0.0014446545392274857,32.572933197021484,0.0005451141623780131,37.516578674316406
15,0.0014487250009551644,32.55885696411133,0.0005422626272775233,37.57778549194336
16,0.0014361145440489054,32.60670471191406,0.000539305794518441,37.613277435302734
17,0.0014392753364518285,32.605873107910156,0.0005380030488595366,37.7035026550293
18,0.0014393823221325874,32.58063507080078,0.0005356721812859178,37.67666244506836
19,0.0014287966769188643,32.62831497192383,0.0005378412897698581,37.67549514770508
20,0.0014321330236271024,32.65977096557617,0.0005355039029382169,37.64851760864258
21,0.0014317001914605498,32.63957977294922,0.0005360721261240542,37.607574462890625
22,0.001435401034541428,32.618221282958984,0.0005346693214960396,37.66371536254883
23,0.0014249772066250443,32.63688659667969,0.0005340535426512361,37.639652252197266
24,0.001433105324395001,32.63209915161133,0.0005340134375728667,37.68182373046875
25,0.0014201946323737502,32.68072509765625,0.0005332099972292781,37.69377517700195
