gene_index,params,st1_time_sec,st2_time_sec,total_time_sec,st1_best_val_psnr,st2_best_val_psnr,st1_best_model,st2_best_model,best_overall_psnr,best_overall_model
1,2272,17815.39,1737.81,19553.2,31.724271774291992,31.582929611206055,Outx2/a100_fast_bestpsnr_20260526_105721/gene_001/stage1_p64_best.keras,Outx2/a100_fast_bestpsnr_20260526_105721/gene_001/stage2_p128_best.keras,31.724271774291992,Outx2/a100_fast_bestpsnr_20260526_105721/gene_001/stage1_p64_best.keras
2,4320,24310.39,1059.53,25369.92,35.26891326904297,34.90923309326172,Outx2/a100_fast_bestpsnr_20260526_105721/gene_002/stage1_p64_best.keras,Outx2/a100_fast_bestpsnr_20260526_105721/gene_002/stage2_p128_best.keras,35.26891326904297,Outx2/a100_fast_bestpsnr_20260526_105721/gene_002/stage1_p64_best.keras
3,16608,29575.33,1060.28,30635.61,35.61112594604492,35.282344818115234,Outx2/a100_fast_bestpsnr_20260526_105721/gene_003/stage1_p64_best.keras,Outx2/a100_fast_bestpsnr_20260526_105721/gene_003/stage2_p128_best.keras,35.61112594604492,Outx2/a100_fast_bestpsnr_20260526_105721/gene_003/stage1_p64_best.keras
4,29440,25416.11,1093.21,26509.31,36.02326965332031,35.61355972290039,Outx2/a100_fast_bestpsnr_20260526_105721/gene_004/stage1_p64_best.keras,Outx2/a100_fast_bestpsnr_20260526_105721/gene_004/stage2_p128_best.keras,36.02326965332031,Outx2/a100_fast_bestpsnr_20260526_105721/gene_004/stage1_p64_best.keras
5,112032,28925.61,1243.2,30168.81,36.88992691040039,36.39073181152344,Outx2/a100_fast_bestpsnr_20260526_105721/gene_005/stage1_p64_best.keras,Outx2/a100_fast_bestpsnr_20260526_105721/gene_005/stage2_p128_best.keras,36.88992691040039,Outx2/a100_fast_bestpsnr_20260526_105721/gene_005/stage1_p64_best.keras
