epoch,loss,psnr,val_loss,val_psnr
0,0.002179020084440708,29.206417083740234,0.0012324023991823196,31.017133712768555
1,0.001715379417873919,30.069299697875977,0.000966899620834738,32.0750617980957
2,0.0014745148364454508,30.671337127685547,0.0008146124891936779,32.894134521484375
3,0.0013423882192000747,31.12531852722168,0.0007215838995762169,33.59138870239258
4,0.0012590199476107955,31.461254119873047,0.0006697507342323661,34.06045913696289
5,0.0012062183814123273,31.734304428100586,0.0006339390529319644,34.48038101196289
6,0.0011707086814567447,31.918067932128906,0.0006089547532610595,34.7853889465332
7,0.0011444349074736238,32.084129333496094,0.0005936785601079464,35.019264221191406
8,0.0011263031046837568,32.21505355834961,0.0005773411248810589,35.232906341552734
9,0.0011129019549116492,32.29615020751953,0.0005665637436322868,35.40643310546875
10,0.0010977403726428747,32.402915954589844,0.0005565560422837734,35.53590774536133
11,0.0010907339164987206,32.45997619628906,0.0005497077945619822,35.66444778442383
12,0.0010782445315271616,32.539756774902344,0.0005428961012512445,35.75558090209961
13,0.001075813896022737,32.57135009765625,0.0005369506543502212,35.86345672607422
14,0.0010666296584531665,32.63951873779297,0.0005334794986993074,35.90090560913086
15,0.001065840246155858,32.63923645019531,0.0005302741192281246,35.93844985961914
16,0.0010598842054605484,32.703067779541016,0.0005272114649415016,36.003021240234375
17,0.0010515209287405014,32.72749328613281,0.0005226074135862291,36.04769515991211
18,0.0010533983586356044,32.730831146240234,0.0005213809781707823,36.07154846191406
19,0.0010488018160685897,32.77427673339844,0.0005180200096219778,36.10028076171875
20,0.0010432193521410227,32.76861572265625,0.000516172731295228,36.11931228637695
21,0.0010455307783558965,32.785980224609375,0.0005135684041306376,36.14112854003906
22,0.0010381662286818027,32.81562042236328,0.0005115990061312914,36.174922943115234
23,0.0010367751820012927,32.82975769042969,0.0005139461136423051,36.13065719604492
24,0.0010359035804867744,32.854576110839844,0.000509010860696435,36.15972137451172
25,0.0010304307797923684,32.87372589111328,0.0005077995010651648,36.20199203491211
26,0.0010311411460861564,32.873531341552734,0.0005067239981144667,36.203922271728516
27,0.001032615196891129,32.85741424560547,0.0005053756758570671,36.226287841796875
28,0.001030059065669775,32.88894271850586,0.0005051557091064751,36.22660827636719
29,0.0010318728163838387,32.88345718383789,0.0005027894512750208,36.249027252197266
30,0.0010274876840412617,32.87980651855469,0.0005025257123634219,36.241241455078125
31,0.0010258749825879931,32.910797119140625,0.0005012803012505174,36.26114273071289
32,0.0010280683636665344,32.890830993652344,0.0005024708225391805,36.236263275146484
33,0.0010288527701050043,32.88969802856445,0.0005000836099497974,36.245121002197266
34,0.0010246264282613993,32.916748046875,0.0004991242894902825,36.26909255981445
35,0.0010230132611468434,32.919944763183594,0.0005013103946112096,36.214481353759766
36,0.0010205749422311783,32.920631408691406,0.0004982503014616668,36.245697021484375
37,0.0010203311685472727,32.922359466552734,0.0004987475695088506,36.237403869628906
38,0.0010203872807323933,32.947853088378906,0.0004972345195710659,36.265254974365234
39,0.0010137809440493584,32.9566535949707,0.0004964384133927524,36.26181411743164
40,0.0010175980860367417,32.95722579956055,0.0004962263628840446,36.261260986328125
41,0.0010165501153096557,32.97752380371094,0.000495989341288805,36.26609802246094
42,0.0010173863265663385,32.96513366699219,0.0004965401603840292,36.25725555419922
43,0.0010094055905938148,32.97472381591797,0.0004958372446708381,36.267311096191406
